1 1 3 4 -0.151574715087513
1 1 2 5 -0.00028057997192743
1 0 5 3 5.71324065836392e-05
1 0 4 2 -9.29050429036974e-05
1 0 3 5 0.000296722412907656
1 0 2 4 -0.000202290887385248
0 5 3 1 -0.000385028446301821
0 5 2 0 0.000115113181130597
0 5 1 3 -0.000248618533542305
0 5 0 2 -0.000218491310234832
0 4 3 0 -0.000223546454292819
0 4 2 1 -0.0779332214910216
0 4 1 2 -0.0781208223752761
0 4 0 3 -8.70880492781922e-05
0 3 5 1 0.000124250173671414
0 3 4 0 -0.000331421911627267
0 3 1 5 -0.000692443122988381
0 3 0 4 2.65974480435676e-06
0 2 5 0 -0.000269307116993408
0 2 4 1 -6.04390022961978e-05
0 2 1 4 0.00027338206978015
0 2 0 5 -0.000107866387806865
0 1 5 3 -0.000381486067483224
0 1 4 2 0.000246624027185265
0 1 3 5 -0.00017740122281493
0 1 2 4 0.000217005919518937
0 0 5 2 9.28861536724132e-05
0 0 4 3 -7.21471331235894e-05
0 0 3 4 0.000231620649150335
0 0 2 5 -0.000309168825173503
1 1 3 5 0.000216749371253934
1 1 2 4 0.000338665177635947
1 0 5 2 -0.0001122893923791
1 0 4 3 -0.000196552178128188
1 0 3 4 -0.000211834762917963
1 0 2 5 -3.97103002297622e-05
0 5 3 0 0.000366574311380724
0 5 2 1 6.84846272070373e-05
0 5 1 2 0.000327776857633869
0 5 0 3 -0.000120471446125141
0 4 3 1 0.000270479632283836
0 4 2 0 -0.000145068908458911
0 4 1 3 -0.00029383842246176
0 4 0 2 -0.000339020631614449
0 3 5 0 0.000286470710640644
0 3 4 1 2.77421916315827e-05
0 3 1 4 2.15510553993095e-05
0 3 0 5 -0.000520714079275815
0 2 5 1 0.16672741462738
0 2 4 0 3.13701636651742e-05
0 2 1 5 0.277816237817842
0 2 0 4 3.52330003125606e-06
0 1 5 2 -0.000131830711749848
0 1 4 3 0.000453970294979869
0 1 3 4 7.53068575547894e-05
0 1 2 5 0.000115359627662254
0 0 5 3 0.11849472601269
0 0 4 2 0.000589504087993057
0 0 3 5 0.117837742180279
0 0 2 4 -0.000130576126117307
1 1 1 4 0.000556254309714945
1 1 0 5 -1.32102240856991e-05
1 0 5 1 0.000167486219896657
1 0 4 0 -9.85792163821949e-05
1 0 1 5 0.000485997271200164
1 0 0 4 -2.93738482581703e-05
0 5 5 5 -0.000382128320627531
0 5 4 4 0.000224152777772648
0 5 3 3 0.000103318768786393
0 5 2 2 0.277450817768734
0 5 1 1 0.000202346050686662
